ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
146,0.0,26,yes,V4,9.0,V3,V5,V3,V2,1347,F,,V3,V3,V3,0.0,25180,1.0,V1,6034,2,V4,V2,2,V2,9,V4,4,V3,1.0,T,1347,
147,1.0,35,yes,V5,12.0,V7,V1,V1,V2,691,F,,V1,V3,V3,0.0,33867,1.0,V1,3581,3,V4,V1,2,V2,12,V4,4,V3,1.0,T,691,
148,0.0,46,yes,V5,24.0,V3,V1,V4,V1,2611,F,,V4,V3,V3,0.0,39860,1.0,V2,6403,3,V4,V1,2,V2,24,V4,4,V4,1.0,T,2611,
149,1.0,31,yes,V2,17.0,V2,V1,V2,V1,1927,F,,V2,V3,V2,0.0,108778,1.0,V1,5321,2,V4,V1,2,V2,17,V4,2,V3,1.0,T,1927,
150,0.0,21,yes,V3,6.0,V2,V1,V4,V2,1765,F,,V4,V3,V3,0.0,4469,1.0,V1,3803,2,V2,V1,1,V1,6,V2,1,V4,1.0,T,1765,
151,0.0,26,yes,V2,8.0,V9,V1,V2,V1,907,F,,V2,V3,V3,0.0,42290,1.0,V1,7240,2,V2,V2,1,V2,8,V2,3,V4,1.0,T,907,
152,0.0,22,yes,V3,17.0,V6,V5,V1,V4,8470,F,,V1,V3,V3,0.0,34591,1.0,V1,3253,2,V3,V2,2,V1,17,V3,1,V2,1.0,T,8470,
153,1.0,45,yes,V3,28.0,V7,V1,V1,V4,4006,F,,V1,V3,V2,0.0,34647,1.0,V1,5841,2,V2,V1,1,V2,28,V2,3,V3,1.0,T,4006,
154,0.0,49,yes,V4,47.0,V6,V1,V1,V3,7475,F,,V1,V3,V4,0.0,37496,1.0,V1,5827,1,V2,V2,1,V3,47,V2,4,V3,1.0,T,7475,
155,1.0,18,yes,V2,8.0,V2,V1,V4,V4,1979,F,,V4,V3,V3,0.0,5502,1.0,V2,5492,2,V2,V1,2,V1,8,V2,2,V2,1.0,T,1979,
156,0.0,65,yes,V1,17.0,V3,V1,V4,V4,1097,F,,V4,V3,V1,0.0,75600,1.0,V1,6214,4,V4,V1,2,V2,17,V4,4,V2,1.0,T,1097,
157,1.0,24,yes,V5,48.0,V1,V1,V1,V3,4605,F,,V1,V3,V3,0.0,12350,1.0,V1,5694,4,V5,V1,2,V3,48,V5,3,V3,2.0,T,4605,
158,1.0,60,yes,V5,36.0,V9,V1,V2,V3,1952,F,,V2,V3,V4,0.0,17229,1.0,V1,5725,4,V5,V2,1,V3,36,V5,4,V3,1.0,T,1952,
159,0.0,32,yes,V4,23.0,V3,V1,V4,V4,1851,F,,V4,V3,V3,0.0,99064,1.0,V3,4702,2,V4,V2,2,V2,23,V4,4,V4,1.0,T,1851,
160,0.0,35,yes,V3,9.0,V7,V1,V1,V1,2799,F,,V1,V3,V3,0.0,57155,1.0,V1,4104,2,V4,V1,2,V1,9,V4,2,V3,2.0,T,2799,
161,0.0,57,yes,V5,23.0,V10,V1,V1,V1,1755,F,,V1,V3,V2,0.0,97088,1.0,V3,4414,4,V2,V2,1,V2,23,V2,4,V2,1.0,T,1755,
162,0.0,22,yes,V4,17.0,V3,V5,V1,V4,1936,F,,V1,V3,V2,0.0,19390,1.0,V1,4602,4,V2,V1,2,V1,17,V2,2,V4,1.0,T,1936,
163,0.0,63,yes,V5,9.0,V6,V5,V4,V1,3832,F,,V4,V3,V2,0.0,36438,1.0,V1,4450,4,V2,V1,1,V2,9,V2,1,V3,1.0,T,3832,
164,1.0,56,yes,V5,11.0,V3,V1,V1,V1,709,F,,V1,V2,V2,0.0,51660,1.0,V1,5734,4,V2,V1,1,V2,11,V2,4,V3,1.0,T,709,
165,0.0,43,yes,V4,24.0,V1,V5,V4,V4,2197,F,,V4,V3,V3,0.0,82720,1.0,V1,5271,4,V4,V2,2,V2,24,V4,4,V3,2.0,T,2197,
166,0.0,38,yes,V4,30.0,V3,V1,V4,V4,5953,F,,V4,V3,V3,0.0,66330,1.0,V2,5537,2,V4,V1,1,V2,30,V4,3,V3,1.0,T,5953,
167,0.0,26,yes,V3,26.0,V1,V4,V4,V4,8613,F,,V4,V3,V3,0.0,25634,1.0,V1,6176,2,V3,V1,2,V2,26,V3,2,V3,,T,8613,
168,0.0,35,no,V3,6.0,V7,V2,V4,V3,1203,F,,V4,V1,V3,0.0,14544,1.0,V1,4854,1,V5,V1,1,V1,6,V5,4,V3,1.0,T,1203,
169,0.0,21,yes,V3,24.0,V2,V3,V1,V1,2482,F,,V1,V2,V3,0.0,67150,1.0,V1,4798,4,V1,V2,1,V2,24,V1,4,V3,1.0,T,2482,
170,0.0,41,yes,V5,36.0,V1,V1,V1,V3,5492,F,,V1,V3,V3,0.0,50404,1.0,V1,7615,4,V2,V1,1,V3,36,V2,2,V3,2.0,T,5492,
171,1.0,50,yes,V5,18.0,V1,V5,V1,V2,7510,F,,V1,V3,V3,0.0,18657,1.0,V1,4067,4,V2,V2,1,V3,18,V2,1,V3,2.0,T,7510,
172,1.0,21,yes,V3,17.0,V2,V1,V1,V4,2461,F,,V1,V3,V3,0.0,45452,1.0,V1,4482,2,V2,V1,1,V2,17,V2,2,V3,1.0,T,2461,
173,0.0,52,yes,V5,10.0,V3,V1,V1,V1,2314,F,,V1,V3,V2,0.0,22123,1.0,V1,5104,4,V2,V1,1,V2,10,V2,3,V3,1.0,T,2314,
174,0.0,21,yes,V3,12.0,V3,V1,V2,V4,1566,F,,V2,V3,V3,0.0,17100,1.0,V1,4838,1,V2,V2,1,V2,12,V2,1,V2,1.0,T,1566,
175,1.0,58,yes,V2,54.0,V9,V1,V2,V3,15944,F,,V2,V3,V3,0.0,4030,1.0,V1,4464,4,V5,V2,1,V1,54,V5,3,V3,1.0,T,15944,
176,0.0,62,yes,V5,14.0,V2,V5,V4,V2,1519,F,,V4,V3,V3,0.0,45336,1.0,V1,3398,4,V4,V1,1,V2,14,V4,4,V3,1.0,T,1519,
177,0.0,54,yes,V5,12.0,V2,V5,V3,V1,1423,F,,V3,V3,V4,0.0,24506,1.0,V1,5840,4,V2,V2,1,V2,12,V2,3,V2,1.0,T,1423,
178,0.0,25,yes,V4,23.0,V3,V1,V3,V4,5151,F,,V3,V1,V3,0.0,22641,1.0,V1,7257,2,V2,V1,1,V2,23,V2,4,V3,1.0,T,5151,
179,1.0,21,yes,V2,12.0,V3,V1,V2,V4,1330,F,,V2,V2,V3,0.0,72952,1.0,V1,4733,1,V2,V1,1,V2,12,V2,2,V3,1.0,T,1330,
180,1.0,24,yes,V3,11.0,V3,V1,V1,V1,626,F,,V1,,V2,0.0,17463,1.0,V1,6362,4,V1,V1,1,V2,11,V1,4,V2,1.0,T,626,
181,0.0,58,yes,V4,8.0,V3,V1,V1,V1,1363,F,,V1,V3,V3,0.0,28480,1.0,V1,3915,4,V2,V1,1,V2,8,V2,3,V3,1.0,T,1363,
182,0.0,36,yes,V3,24.0,V9,V4,V3,V1,1275,F,,V3,V3,V3,0.0,98782,1.0,V1,5889,4,V4,V2,2,V2,24,V4,2,V1,1.0,T,1275,
183,0.0,24,yes,V3,6.0,V7,V3,V4,V4,2079,F,,V4,V3,V3,0.0,25379,1.0,V1,5418,2,V4,V1,1,V2,6,V4,1,V4,1.0,T,2079,
184,0.0,31,yes,V3,23.0,V9,V5,V4,V1,2978,F,,V4,V3,V3,0.0,12793,1.0,V1,5464,4,V3,V2,2,V2,23,V3,4,V3,2.0,T,2978,
185,0.0,26,yes,V2,18.0,V2,V1,V2,V2,1295,F,,V2,V3,V3,0.0,44958,1.0,V1,4815,1,V4,V1,2,V2,18,V4,4,V2,1.0,T,1295,
186,0.0,22,yes,V2,13.0,V3,V1,V2,V1,882,F,,V2,V3,V3,0.0,20237,1.0,V3,5117,4,V4,V1,2,V2,13,V4,4,V3,1.0,T,882,
187,0.0,60,yes,V4,11.0,V6,V5,V4,V4,2011,F,,V4,V3,V3,0.0,96772,1.0,V1,6067,2,V4,V1,1,V2,11,V4,4,V2,1.0,T,2011,
188,1.0,29,yes,V5,23.0,V7,V5,V1,V4,914,F,,V1,V1,V3,0.0,8818,1.0,V1,4538,2,V2,V1,1,V2,23,V2,4,V2,1.0,T,914,
189,1.0,35,yes,V2,23.0,V3,V1,V1,V1,2439,F,,V1,V3,V3,0.0,13217,1.0,V1,4082,4,V2,V2,1,V2,23,V2,4,V2,1.0,T,2439,
190,0.0,34,yes,V4,20.0,V2,V5,V2,V4,3976,F,,V2,V3,V3,0.0,19503,1.0,V1,5014,3,V2,V2,1,V2,20,V2,2,V3,1.0,T,3976,
191,0.0,65,yes,V5,21.0,V7,V1,V1,V1,571,F,,V1,V3,V3,0.0,96102,1.0,V1,4997,4,V4,V1,2,V2,21,V4,4,V3,1.0,T,571,
192,0.0,49,yes,V5,24.0,V1,V5,V1,V3,2964,F,,V1,V1,V3,0.0,56356,1.0,V1,3662,4,V2,V2,1,V3,24,V2,4,V3,2.0,T,2964,
193,0.0,46,yes,V3,11.0,V2,V1,V3,V4,2251,F,,V3,V3,V2,0.0,93001,1.0,V1,3831,2,V2,V1,1,V2,11,V2,1,V2,1.0,T,2251,
194,0.0,53,yes,V5,24.0,V6,V1,V4,V3,1596,F,,V4,V3,V3,0.0,33246,1.0,V1,4009,4,V4,V1,2,V3,24,V4,4,V3,2.0,T,1596,
195,0.0,42,yes,V3,24.0,V7,V5,V2,V4,1965,F,,V2,V3,V3,0.0,11868,1.0,V1,5302,4,V3,V2,2,V1,24,V3,4,V2,1.0,T,1965,
196,0.0,70,yes,V1,10.0,V7,V1,V2,V3,7308,F,,V2,V1,V4,0.0,21540,1.0,V1,6112,4,V2,V2,1,V3,10,V2,2,V3,1.0,T,7308,
197,0.0,43,yes,V5,18.0,V7,V5,V2,V4,2899,F,,V2,V3,V3,0.0,10609,1.0,V1,4189,4,V3,V1,1,V2,18,V3,4,V3,2.0,T,2899,
198,0.0,29,yes,V3,11.0,V1,V5,V2,V4,2028,F,,V2,V3,V3,0.0,41996,1.0,V1,4135,2,V2,V1,1,V2,11,V2,4,V3,1.0,T,2028,
199,0.0,42,yes,V3,15.0,V3,V1,V4,V4,1459,F,,V4,V3,V2,0.0,7047,1.0,V1,5861,2,V4,V1,1,V2,15,V4,4,V2,1.0,T,1459,
200,0.0,46,yes,V4,11.0,V7,V1,V2,V1,958,F,,V2,V3,V2,0.0,7622,1.0,V1,5367,3,V4,V1,2,V2,11,V4,2,V3,2.0,T,958,
201,0.0,30,yes,V3,12.0,V2,V1,V1,V2,1620,F,,V1,V3,V3,0.0,47306,1.0,V2,4528,3,V2,V1,1,V2,12,V2,2,V2,1.0,T,1620,
202,1.0,31,yes,V3,18.0,V7,V1,V4,V2,1529,F,,V4,V1,V3,0.0,44080,1.0,V1,5999,2,V4,V1,2,V2,18,V4,3,V3,1.0,T,1529,
203,1.0,47,yes,V3,18.0,V4,V1,V1,V1,1216,F,,V1,V3,V2,0.0,14097,1.0,V1,6120,3,V2,V2,1,V2,18,V2,4,V4,1.0,T,1216,
204,1.0,42,yes,V5,12.0,V7,V1,V1,V2,4843,F,,V1,V3,V3,0.0,15575,1.0,V2,6182,4,V4,V2,2,V1,12,V4,3,V3,1.0,T,4843,
205,0.0,22,yes,V3,9.0,V3,V1,V2,V1,1048,F,,V2,V2,V2,0.0,21401,1.0,V1,4717,4,V1,V1,1,V2,9,V1,4,V3,1.0,T,1048,
206,0.0,38,yes,V5,12.0,V7,V1,V4,V1,1495,F,,V4,V3,V2,0.0,18861,1.0,V1,3762,1,V4,V1,2,V2,12,V4,4,V3,2.0,T,1495,
207,0.0,24,yes,V3,9.0,V3,V1,V1,V1,1137,F,,V1,V3,V2,0.0,11797,1.0,V1,4538,4,V4,V1,2,V2,9,V4,4,V3,1.0,T,1137,
208,0.0,25,yes,,30.0,V3,V1,V4,V4,4529,F,,V4,V3,V4,0.0,14448,1.0,V1,4709,4,V4,V2,1,V1,30,V4,4,V2,1.0,T,4529,
209,1.0,33,yes,V1,14.0,V7,V2,V2,V2,6850,F,,V2,V3,V4,0.0,27443,1.0,V1,7242,2,V1,V2,1,V2,14,V1,1,V3,2.0,T,6850,
210,0.0,40,yes,V5,8.0,V6,V5,V4,V2,1243,F,,V4,V3,V2,0.0,23164,1.0,V1,5911,4,V4,V1,2,V1,8,V4,4,V2,1.0,T,1243,
211,0.0,31,yes,V5,20.0,V1,V2,V2,V4,6148,F,,V2,V1,V3,0.0,10125,1.0,V1,6024,4,V5,V2,2,V2,20,V5,3,V4,1.0,T,6148,
212,0.0,33,yes,V3,9.0,V3,V5,V4,V1,3074,F,,V4,V3,V3,0.0,12834,1.0,V1,4698,2,V4,V1,2,V2,9,V4,1,V3,2.0,T,3074,
213,0.0,65,yes,V1,11.0,V7,V3,V3,V3,1480,F,,V3,V1,V1,0.0,78743,1.0,V1,6013,4,V4,V1,3,V3,11,V4,2,V3,1.0,T,1480,
214,0.0,68,yes,V1,15.0,V7,V1,V2,V4,1174,F,,V2,V3,V1,0.0,25689,1.0,V1,3664,3,V4,V2,3,V3,15,V4,2,V3,1.0,T,1174,
215,0.0,40,no,V3,9.0,V7,V3,V4,V3,1597,F,,V4,V3,V2,0.0,15821,1.0,V1,5435,2,V2,V1,1,V1,9,V2,3,V3,2.0,T,1597,
216,0.0,51,yes,V3,11.0,V3,V1,V4,V4,3076,F,,V4,V3,V3,0.0,59236,1.0,V1,6357,4,V2,V2,1,V2,11,V2,2,V3,1.0,T,3076,
217,0.0,33,yes,V2,42.0,V9,V1,V3,V2,6288,F,,V3,V3,V3,0.0,23299,1.0,V1,4858,1,V5,V1,2,V2,42,V5,2,V1,1.0,T,6288,
218,1.0,65,yes,V3,17.0,V3,V1,V1,V3,2600,F,,V1,V3,V3,0.0,35886,1.0,V1,4471,4,V2,V1,2,V3,17,V2,4,V3,1.0,T,2600,
219,0.0,27,yes,V2,12.0,V9,V1,V1,V2,1796,F,,V1,V1,V2,0.0,61590,1.0,V1,4492,1,V4,V1,2,V2,12,V4,3,V3,1.0,T,1796,
220,0.0,39,yes,V4,6.0,V7,V4,V1,V1,665,F,,V1,V3,V2,0.0,44429,1.0,V1,3358,4,V4,V2,2,V2,6,V4,3,V2,1.0,T,665,2.0
221,0.0,32,yes,V5,17.0,V3,V3,V4,V2,628,F,,V4,V1,V4,0.0,14409,1.0,V1,2718,3,V4,V2,2,V2,17,V4,4,V3,1.0,T,628,
222,1.0,23,yes,V3,72.0,V3,V2,V2,V4,5595,F,,V2,V3,V3,0.0,20840,1.0,V1,3286,2,V2,V1,1,V2,72,V2,2,V4,1.0,T,5595,
223,1.0,40,yes,V2,20.0,V9,V3,V4,V1,2579,F,,V4,V1,V2,0.0,34922,1.0,V1,5090,2,V3,V1,1,V2,20,V3,4,V3,2.0,T,2579,
224,1.0,55,yes,V5,11.0,V5,V4,V4,V3,1555,F,,V4,V3,V3,0.0,102870,1.0,V1,5945,4,V3,V1,2,V3,11,V3,4,V3,2.0,T,1555,
225,1.0,61,yes,V3,15.0,V5,V4,V2,V2,1512,F,,V2,V2,V3,0.0,41288,1.0,V1,5325,3,V3,V1,2,V2,15,V3,3,V4,1.0,T,1512,
226,1.0,28,yes,V2,23.0,V3,V1,V1,V4,1659,F,,V1,V3,V2,0.0,71318,1.0,V1,6819,2,V3,V2,1,V1,23,V3,4,V2,1.0,T,1659,
227,0.0,46,yes,V3,24.0,V1,V5,V4,V2,6842,F,,V4,V3,V4,0.0,17461,1.0,V1,4499,4,V4,V2,2,V2,24,V4,2,V3,2.0,T,6842,
228,0.0,25,yes,V4,24.0,V9,V2,V1,V1,1381,F,,V1,V3,V3,0.0,70603,1.0,V1,5666,1,V4,V2,2,V2,24,V4,4,V3,1.0,T,1381,
229,0.0,24,no,V2,23.0,V2,V1,V1,V2,1747,F,,V1,V3,V2,0.0,47139,1.0,V2,5855,1,V2,V1,1,V2,23,V2,4,V3,1.0,T,1747,
230,0.0,35,yes,V3,23.0,V2,V2,V4,V2,4150,F,,V4,V3,V3,0.0,35991,1.0,V1,3389,3,V3,V1,2,V2,23,V3,2,V3,1.0,T,4150,
231,0.0,49,yes,V4,18.0,V3,V5,V3,V4,1445,F,,V3,V1,V2,0.0,112457,1.0,V1,6682,4,V1,V1,1,V2,18,V1,4,V3,1.0,T,1445,
232,0.0,32,yes,V3,18.0,V2,V1,V2,V4,3244,F,,V2,V1,V3,0.0,18474,1.0,V1,3185,4,V5,V2,2,V2,18,V5,1,V2,1.0,T,3244,
233,0.0,32,no,V5,9.0,V7,V1,V4,V1,1230,F,,V4,V3,V2,0.0,31156,1.0,V1,3639,4,V4,V1,2,V2,9,V4,3,V3,2.0,T,1230,
234,0.0,23,yes,V2,9.0,V2,V1,V3,V2,1275,F,,V3,V3,V3,0.0,17835,1.0,V1,7005,2,V2,V1,1,V2,9,V2,4,V2,1.0,T,1275,
235,0.0,31,yes,V5,24.0,V2,V3,V4,V3,3061,F,,V4,V3,V3,0.0,65802,1.0,V1,4015,3,V2,V2,1,V1,24,V2,4,V3,1.0,T,3061,
236,0.0,33,yes,V3,5.0,V9,V2,V4,V1,1743,F,,V4,V3,V2,0.0,69882,1.0,V1,6077,2,V3,V1,2,V2,5,V3,1,V3,1.0,T,1743,
237,1.0,29,yes,V3,17.0,V6,V2,V4,V1,1863,F,,V4,V3,V3,0.0,14686,1.0,V1,5126,2,V4,V1,2,V2,17,V4,4,V2,1.0,T,1863,
238,1.0,35,yes,V3,23.0,V7,V5,V1,V2,1381,F,,V1,V3,V3,0.0,22139,1.0,V1,5514,2,V2,V1,1,V2,23,V2,4,V2,1.0,T,1381,
239,0.0,29,yes,V5,28.0,V3,V1,V4,V4,2742,F,,V4,V3,V3,0.0,39607,1.0,V1,4595,2,V4,V1,2,V2,28,V4,4,V3,1.0,T,2742,
240,0.0,56,yes,V5,30.0,V2,V4,V1,V2,3621,F,,V1,V3,V3,0.0,40102,1.0,V1,4640,4,V2,V2,2,V1,30,V2,4,V2,1.0,T,3621,
241,0.0,32,yes,V4,14.0,V2,V5,V4,V1,2185,F,,V4,V1,V2,0.0,9435,1.0,V1,4778,4,V2,V1,1,V1,14,V2,1,V2,1.0,T,2185,
242,0.0,28,yes,V3,21.0,V7,V2,V3,V4,2922,F,,V3,V1,V4,0.0,7489,1.0,V1,5709,1,V2,V2,1,V2,21,V2,1,V2,1.0,T,2922,
243,0.0,33,yes,V5,17.0,V3,V1,V4,V4,6070,F,,V4,V3,V3,0.0,20722,1.0,V1,5142,4,V4,V2,2,V2,17,V4,3,V3,1.0,T,6070,
244,0.0,53,yes,V5,12.0,V7,V4,V2,V1,1317,F,,V2,V3,V3,0.0,23657,1.0,V1,4600,4,V2,V2,1,V2,12,V2,4,V3,1.0,T,1317,
245,1.0,23,yes,V4,35.0,V7,V1,V1,V4,9270,F,,V1,V3,V3,0.0,59286,1.0,V1,4041,1,V2,V2,1,V2,35,V2,2,V3,1.0,T,9270,
246,1.0,32,no,V3,20.0,V7,V1,V1,V2,2235,F,,V1,V1,V3,0.0,11960,1.0,V3,6066,2,V4,V1,2,V1,20,V4,4,V4,1.0,T,2235,
247,0.0,46,yes,V5,15.0,V3,V1,V4,V4,1829,F,,V4,V3,V3,0.0,8369,1.0,V1,4487,4,V4,V2,2,V2,15,V4,4,V3,1.0,T,1829,
248,0.0,35,yes,V3,6.0,V2,V1,V1,V1,1373,F,,V1,V1,V2,0.0,29687,1.0,V1,4227,2,V2,V2,1,V2,6,V2,1,V3,1.0,T,1373,
249,1.0,28,no,V3,9.0,V2,V1,V2,V4,958,F,,V2,V3,V3,0.0,6912,1.0,V1,4949,2,V2,V1,1,V2,9,V2,1,V2,1.0,T,958,
250,0.0,32,yes,V2,23.0,V3,V1,V2,V4,6403,F,,V2,V3,V3,0.0,31535,1.0,V1,3984,2,V3,V1,1,V2,23,V3,1,V3,1.0,T,6403,
251,0.0,53,yes,V5,11.0,V1,V1,V1,V1,1408,F,,V1,V3,V3,0.0,7555,1.0,V1,5993,3,V4,V1,1,V2,11,V4,4,V3,1.0,T,1408,
252,0.0,36,yes,V5,24.0,V3,V1,V4,V1,1277,F,,V4,V3,V4,0.0,33452,1.0,V1,5229,1,V2,V2,1,V2,24,V2,4,V3,1.0,T,1277,
253,0.0,32,yes,V2,26.0,V9,V1,V2,V2,2528,F,,V2,V3,V3,0.0,24893,1.0,V1,5963,1,V2,V2,1,V2,26,V2,4,V2,2.0,T,2528,
254,0.0,37,yes,V5,36.0,V1,V4,V4,V4,5710,F,,V4,V3,V4,0.0,24243,1.0,V1,4758,2,V4,V2,2,V2,36,V4,4,V3,1.0,T,5710,
255,1.0,24,yes,V4,23.0,V3,V1,V1,V4,1546,F,,V1,V1,V2,0.0,57928,1.0,V3,5302,4,V1,V1,1,V1,23,V1,4,V3,1.0,T,1546,
256,1.0,26,yes,V2,35.0,V7,V1,V2,V4,2819,F,,V2,V3,V3,0.0,105077,1.0,V1,5679,4,V4,V1,2,V2,35,V4,4,V1,1.0,T,2819,
257,1.0,21,yes,V2,23.0,V3,V1,V2,V2,2038,F,,V2,V3,V3,0.0,2668,1.0,V1,3827,1,V2,V2,1,V2,23,V2,1,V4,1.0,T,2038,
258,1.0,40,yes,V3,12.0,V6,V1,V1,V4,683,F,,V1,V3,V2,0.0,60487,1.0,V1,4610,4,V2,V1,1,V1,12,V2,4,V3,2.0,T,683,
259,0.0,26,yes,V3,35.0,V5,V1,V4,V4,2612,F,,V4,V3,V3,0.0,105883,1.0,V1,4710,2,V5,V1,2,V2,35,V5,4,V3,1.0,T,2612,
260,0.0,37,yes,V3,6.0,V7,V1,V1,V1,3676,F,,V1,V3,V3,0.0,56421,1.0,V1,3468,3,V4,V1,3,V1,6,V4,1,V3,2.0,T,3676,
261,0.0,66,yes,V5,11.0,V1,V1,V1,V3,1526,F,,V1,V3,V4,0.0,97721,1.0,V1,3840,4,V4,V1,2,V3,11,V4,4,V3,1.0,T,1526,
262,0.0,21,yes,V3,11.0,V3,V5,V4,V4,885,F,,V4,V3,V3,0.0,6764,1.0,V1,4922,2,V2,V1,1,V2,11,V2,4,V2,1.0,T,885,
263,1.0,30,yes,V5,17.0,V7,V1,V2,V1,1055,F,,V2,V1,V3,0.0,28415,1.0,V3,6315,3,V4,V1,2,V2,17,V4,3,V3,1.0,T,1055,
264,0.0,21,yes,V3,14.0,V5,V2,V2,V1,1513,F,,V2,V3,V3,0.0,90839,1.0,V3,3615,2,V2,V1,1,V2,14,V2,4,V3,1.0,T,1513,
265,1.0,28,yes,V3,12.0,V2,V3,V4,V4,1122,F,,V4,V3,V2,0.0,67278,1.0,V1,4909,4,V2,V1,1,V1,12,V2,4,V2,1.0,T,1122,
266,0.0,22,yes,V4,23.0,V3,V2,V2,V2,1552,F,,V2,V3,V3,0.0,23992,1.0,V1,5953,2,V3,V2,2,V1,23,V3,3,V2,1.0,T,1552,
267,0.0,27,no,V2,5.0,V7,V4,V3,V1,709,F,,V3,,V1,0.0,26718,1.0,V1,5193,2,V2,V1,1,V2,5,V2,2,V4,1.0,T,709,
268,1.0,20,yes,V3,23.0,V2,V5,V1,V4,2996,F,,V1,V3,V3,0.0,26188,1.0,V1,5308,4,V2,V1,1,V2,23,V2,2,V4,1.0,T,2996,
269,1.0,46,yes,V1,6.0,V7,V1,V2,V2,1209,F,,V2,V3,V4,0.0,69015,1.0,V1,5583,4,V3,V2,1,V2,6,V3,4,V3,1.0,T,1209,
270,0.0,56,yes,V5,42.0,V1,V1,V3,V3,4796,F,,V3,,V3,0.0,90374,1.0,V1,4708,4,V4,V1,1,V3,42,V4,4,V3,1.0,T,4796,
271,0.0,51,yes,V5,8.0,V10,V1,V1,V3,1163,F,,V1,V1,V4,0.0,30227,1.0,V1,4546,4,V4,V2,2,V3,8,V4,3,V3,2.0,T,1163,
272,0.0,51,yes,V5,6.0,V3,V3,V1,V4,338,F,,V1,V3,V3,0.0,53352,1.0,V1,4310,4,V4,V1,2,V2,6,V4,4,V3,1.0,T,338,
273,0.0,29,yes,V1,35.0,V2,V1,V1,V2,3959,F,,V1,V3,V4,0.0,32807,1.0,V1,4844,3,V2,V2,1,V2,35,V2,4,V3,1.0,T,3959,
274,0.0,23,yes,V4,29.0,V1,V2,V1,V4,6187,F,,V1,V3,V3,0.0,36782,1.0,V1,6498,4,V4,V1,2,V1,29,V4,1,V4,1.0,T,6187,
275,1.0,25,yes,V2,17.0,V2,V1,V1,V2,3113,F,,V1,V3,V3,0.0,60930,1.0,V1,5636,4,V5,V1,1,V1,17,V5,1,V2,1.0,T,3113,
276,1.0,33,yes,V4,48.0,V3,V1,V1,V1,6998,F,,V1,V3,V3,0.0,36653,1.0,V3,2776,1,V2,V2,2,V2,48,V2,1,V4,1.0,T,6998,
277,0.0,37,yes,V4,11.0,V2,V3,V4,V4,1401,F,,V4,V3,V3,0.0,54509,1.0,V1,4845,4,V4,V2,1,V1,11,V4,3,V2,1.0,T,1401,
278,1.0,27,yes,V4,24.0,V2,V1,V1,V4,3552,F,,V1,V1,V3,0.0,55076,1.0,V1,4304,4,V1,V1,1,V2,24,V1,3,V3,1.0,T,3552,
279,0.0,25,yes,V5,8.0,V3,V1,V2,V1,1206,F,,V2,V3,V3,0.0,42042,1.0,V1,4502,4,V2,V1,1,V2,8,V2,4,V2,1.0,T,1206,
280,0.0,27,yes,V5,6.0,V7,V2,V3,V4,1322,F,,V3,V3,V3,0.0,14326,1.0,V1,5325,4,V4,V2,2,V2,6,V4,2,V1,2.0,T,1322,
281,1.0,28,yes,V4,48.0,V3,V1,V2,V1,3059,F,,V2,V3,V3,0.0,78972,1.0,V1,5426,4,V2,V1,2,V2,48,V2,4,V3,1.0,T,3059,
282,1.0,22,yes,V2,17.0,V5,V1,V4,V1,1943,F,,V4,V3,V3,0.0,33117,1.0,V1,3812,4,V2,V1,1,V2,17,V2,4,V2,1.0,T,1943,
283,1.0,27,yes,V1,30.0,V7,V1,V2,V4,5233,F,,V2,V3,V4,0.0,53629,1.0,V1,5894,2,V4,V1,2,V2,30,V4,4,V4,1.0,T,5233,
284,0.0,49,yes,V2,11.0,V7,V1,V2,V1,3123,F,,V2,V1,V2,0.0,62602,1.0,V1,7267,3,V4,V1,2,V2,11,V4,1,V3,2.0,T,3123,
285,0.0,23,yes,V3,12.0,V6,V5,V1,V2,1200,F,,V1,V1,V3,0.0,33772,1.0,V1,5033,4,V2,V2,1,V1,12,V2,4,V2,1.0,T,1200,
286,0.0,62,yes,V5,9.0,V7,V1,V3,V3,780,F,,V3,V3,V3,0.0,27135,1.0,V1,4838,4,V4,V2,2,V3,9,V4,4,V3,1.0,T,780,
287,0.0,40,yes,V5,30.0,V9,V2,V2,V2,2503,F,,V2,V2,V3,0.0,72878,1.0,V1,5174,2,V3,V1,2,V2,30,V3,4,V3,1.0,T,2503,
288,0.0,27,yes,V2,24.0,V8,V1,V4,V4,937,F,,V4,V3,V2,0.0,96017,1.0,V1,4353,3,V2,V1,2,V2,24,V2,4,V4,1.0,T,937,
289,1.0,23,yes,V3,45.0,V3,V1,V1,V3,1845,F,,V1,V3,V3,0.0,48906,1.0,V1,5295,4,V2,V2,1,V3,45,V2,4,V3,1.0,T,1845,
290,0.0,37,yes,V1,18.0,V1,V5,V4,V3,3228,F,,V4,V3,V4,0.0,23418,1.0,V1,4776,4,V4,V2,1,V2,18,V4,2,V3,1.0,T,3228,
291,1.0,27,yes,V3,9.0,V7,V1,V1,V4,653,F,,V1,V3,V2,0.0,7777,1.0,V1,6800,3,V2,V1,1,V2,9,V2,4,V3,1.0,T,653,
